Referência;MARCA;Impressora;Descrição;Capacidade;Família;Preço de Compra s/Imposto;PVD2;PVD3;Preço c/Imposto;PVD3
BI-LC127XLBK-V3;BROTHER;Tinta (Ink-jet);BROTHER LC127XL V3 BLACK CARTUCHO DE TINTA GENERICO LC127XLBK;28 ml;181;0,45   ;0,63   ;0,61   ;5,90   ;Si
BI-LC1280BK;BROTHER;Tinta (Ink-jet);BROTHER LC1280XL BLACK CARTUCHO DE TINTA GENERICO;72.6 ml;181;0,53   ;0,75   ;0,72   ;5,75   ;Si
BI-LC129XLBK;BROTHER;Tinta (Ink-jet);BROTHER LC129XL BLACK CARTUCHO DE TINTA GENERICO LC129XLBK;58 ml;181;0,63   ;0,88   ;0,85   ;6,90   ;Si
BI-LC12EXLBK;BROTHER;Tinta (Ink-jet);BROTHER LC12E BLACK CARTUCHO DE TINTA GENERICO LC-12EBK;;181;3,22   ;4,50   ;4,34   ;10,90   ;Si
BI-LC12EXLCY;BROTHER;Tinta (Ink-jet);BROTHER LC12E CYAN CARTUCHO DE TINTA GENERICO LC-12EC;;181;2,17   ;3,04   ;2,93   ;9,90   ;Si
BI-LC12EXLMG;BROTHER;Tinta (Ink-jet);BROTHER LC12E MAGENTA CARTUCHO DE TINTA GENERICO LC-12EM;;181;2,17   ;3,04   ;2,93   ;9,90   ;No
BI-LC12EXLYL;BROTHER;Tinta (Ink-jet);BROTHER LC12E YELLOW CARTUCHO DE TINTA GENERICO LC-12EY;;181;2,17   ;3,04   ;2,93   ;9,90   ;Si
BI-LC223BK-V3;BROTHER;Tinta (Ink-jet);BROTHER LC223/LC221 V2/V3 BLACK CARTUCHO DE TINTA GENERICO LC223BK/LC221BK (CHIP ULTIMA ACTUALIZAÇÃO);16.6 ml;181;0,72   ;1,00   ;0,97   ;7,50   ;Si
BI-LC223CY-V3;BROTHER;Tinta (Ink-jet);BROTHER LC223/LC221 V2/V3 CYAN CARTUCHO DE TINTA GENERICO LC223C/LC221C (CHIP ULTIMA ACTUALIZAÇÃO);9 ml;181;0,70   ;0,97   ;0,94   ;7,50   ;Si
BI-LC223MG-V3;BROTHER;Tinta (Ink-jet);BROTHER LC223/LC221 V2/V3 MAGENTA CARTUCHO DE TINTA GENERICO LC223M/LC221M (CHIP ULTIMA ACTUALIZAÇÃO);9 ml;181;0,70   ;0,97   ;0,94   ;7,50   ;Si
BI-LC223YL-V3;BROTHER;Tinta (Ink-jet);BROTHER LC223/LC221 V2/V3 YELLOW CARTUCHO DE TINTA GENERICO LC223Y/LC221Y (CHIP ULTIMA ACTUALIZAÇÃO);9 ml;181;0,70   ;0,97   ;0,94   ;7,50   ;Si
BI-LC225XLCY-V3;BROTHER;Tinta (Ink-jet);BROTHER LC225XL V2/V3 CYAN CARTUCHO DE TINTA GENERICO LC225XLC (CHIP ULTIMA ACTUALIZAÇÃO);15.6 ml;181;0,73   ;1,03   ;0,99   ;7,50   ;Si
BI-LC225XLMG-V3;BROTHER;Tinta (Ink-jet);BROTHER LC225XL V2/V3 MAGENTA CARTUCHO DE TINTA GENERICO LC225XLM (CHIP ULTIMA ACTUALIZAÇÃO);15.6 ml;181;0,73   ;1,03   ;0,99   ;7,50   ;Si
BI-LC225XLYL-V3;BROTHER;Tinta (Ink-jet);BROTHER LC225XL V2/V3 YELLOW CARTUCHO DE TINTA GENERICO LC225XLY (CHIP ULTIMA ACTUALIZAÇÃO);15.6 ml;181;0,73   ;1,03   ;0,99   ;7,50   ;Si
BI-LC227XLBK-V3;BROTHER;Tinta (Ink-jet);BROTHER LC227XL V2/V3 BLACK CARTUCHO DE TINTA GENERICO LC227XLBK (CHIP ULTIMA ACTUALIZAÇÃO);28.6 ml;181;0,92   ;1,29   ;1,24   ;7,50   ;Si
BI-LC229XLBK-V3;BROTHER;Tinta (Ink-jet);BROTHER LC229XL V2/V3 BLACK CARTUCHO DE TINTA GENERICO LC229XLBK (CHIP ULTIMA ACTUALIZAÇÃO);58.6 ml;181;1,24   ;1,74   ;1,68   ;9,50   ;No
BI-LC22EXLBK;BROTHER;Tinta (Ink-jet);BROTHER LC22E BLACK CARTUCHO DE TINTA GENERICO LC-22EBK;57.6 ml;181;1,39   ;1,95   ;1,88   ;10,90   ;No
BI-LC22EXLCY;BROTHER;Tinta (Ink-jet);BROTHER LC22E CYAN CARTUCHO DE TINTA GENERICO LC-22EC;15.6 ml;181;1,09   ;1,52   ;1,47   ;9,90   ;Si
BI-LC22EXLMG;BROTHER;Tinta (Ink-jet);BROTHER LC22E MAGENTA CARTUCHO DE TINTA GENERICO LC-22EM;15.6 ml;181;1,09   ;1,52   ;1,47   ;9,90   ;Si
BI-LC22EXLYL;BROTHER;Tinta (Ink-jet);BROTHER LC22E YELLOW CARTUCHO DE TINTA GENERICO LC-22EY;15.6 ml;181;1,09   ;1,52   ;1,47   ;9,90   ;Si
BI-LC22UBK;BROTHER;Tinta (Ink-jet);BROTHER LC22U BLACK CARTUCHO DE TINTA GENERICO LC-22UBK;2.400 Páginas;181;1,54   ;2,15   ;2,07   ;8,99   ;Si
BI-LC22UCY;BROTHER;Tinta (Ink-jet);BROTHER LC22U CYAN CARTUCHO DE TINTA GENERICO LC-22UC;1.200 Páginas;181;1,04   ;1,46   ;1,41   ;6,99   ;Si
