Referência;MARCA;Impressora;Descrição;Capacidade;Família;Preço de Compra s/Imposto;PVD2;PVD3;Preço c/Imposto;PVD3
EI-T1282;EPSON;Tinta (Ink-jet);EPSON T1282 CYAN CARTUCHO DE TINTA GENERICO C13T12824010;6.6 ml;181;0,26   ;0,37   ;0,35   ;3,90   ;Si
EI-T1283;EPSON;Tinta (Ink-jet);EPSON T1283 MAGENTA CARTUCHO DE TINTA GENERICO C13T12834010;6.6 ml;181;0,26   ;0,37   ;0,35   ;3,90   ;Si
EI-T1284;EPSON;Tinta (Ink-jet);EPSON T1284 YELLOW CARTUCHO DE TINTA GENERICO C13T12844010;6.6 ml;181;0,26   ;0,37   ;0,35   ;3,90   ;Si
EI-T1285PK*10;EPSON;Tinta (Ink-jet);EPSON T1285 MULTIPACK DE 10 CARTUCHOS DE TINTA GENERICOS;4*9 ml y 6*6 ml;181;2,57   ;3,59   ;3,46   ;26,50   ;Si
EI-T1285PK*5;EPSON;Tinta (Ink-jet);EPSON T1285 MULTIPACK DE 5 CARTUCHOS DE TINTA GENERICOS;2*13 ml y 3*6.6 ml;181;1,33   ;1,86   ;1,80   ;14,50   ;Si
EI-T1291;EPSON;Tinta (Ink-jet);EPSON T1291 BLACK CARTUCHO DE TINTA GENERICO C13T12914010;15 ml;181;0,26   ;0,37   ;0,35   ;3,90   ;Si
EI-T1292;EPSON;Tinta (Ink-jet);EPSON T1292 CYAN CARTUCHO DE TINTA GENERICO C13T12924010;13 ml;181;0,26   ;0,37   ;0,35   ;3,90   ;Si
EI-T1293;EPSON;Tinta (Ink-jet);EPSON T1293 MAGENTA CARTUCHO DE TINTA GENERICO C13T12934010;13 ml;181;0,26   ;0,37   ;0,35   ;3,90   ;Si
EI-T1294;EPSON;Tinta (Ink-jet);EPSON T1294 YELLOW CARTUCHO DE TINTA GENERICO C13T12944010;13 ml;181;0,26   ;0,37   ;0,35   ;3,90   ;Si
EI-T1295PK*5;EPSON;Tinta (Ink-jet);EPSON T1295 MULTIPACK DE 5 CARTUCHOS DE TINTA GENERICOS;2*15 ml y 3*13ml;181;1,32   ;1,84   ;1,78   ;14,50   ;Si
EI-T1301;EPSON;Tinta (Ink-jet);EPSON T1301 BLACK CARTUCHO DE TINTA GENERICO C13T13014010;33 ml;181;0,52   ;0,72   ;0,70   ;4,95   ;Si
EI-T1302;EPSON;Tinta (Ink-jet);EPSON T1302 CYAN CARTUCHO DE TINTA GENERICO C13T13024010;14 ml;181;0,31   ;0,44   ;0,42   ;4,95   ;Si
EI-T1303;EPSON;Tinta (Ink-jet);EPSON T1303 MAGENTA CARTUCHO DE TINTA GENERICO C13T13034010;14 ml;181;0,31   ;0,44   ;0,42   ;4,95   ;Si
EI-T1304;EPSON;Tinta (Ink-jet);EPSON T1304 YELLOW CARTUCHO DE TINTA GENERICO C13T13044010;14 ml;181;0,31   ;0,44   ;0,42   ;4,95   ;Si
EI-T1571(PG);EPSON;Tinta (Ink-jet);EPSON T1571 BLACK PHOTO CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15714010;29.5 ml;181;2,04   ;2,86   ;2,76   ;8,51   ;Si
EI-T1572(PG);EPSON;Tinta (Ink-jet);EPSON T1572 CYAN CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15724010;29.5 ml;181;2,04   ;2,86   ;2,76   ;8,51   ;Si
EI-T1573(PG);EPSON;Tinta (Ink-jet);EPSON T1573 MAGENTA CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15734010;29.5 ml;181;2,04   ;2,86   ;2,76   ;8,51   ;Si
EI-T1574(PG);EPSON;Tinta (Ink-jet);EPSON T1574 YELLOW CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15744010;29.5 ml;181;2,04   ;2,86   ;2,76   ;8,51   ;No
EI-T1575(PG);EPSON;Tinta (Ink-jet);EPSON T1575 CYAN LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15754010;29.5 ml;181;2,04   ;2,86   ;2,76   ;8,51   ;Si
EI-T1576(PG);EPSON;Tinta (Ink-jet);EPSON T1576 MAGENTA LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15764010;29.5 ml;181;2,04   ;2,86   ;2,76   ;8,51   ;Si
EI-T1577(PG);EPSON;Tinta (Ink-jet);EPSON T1577 BLACK LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15774010;29.5 ml;181;2,04   ;2,86   ;2,76   ;8,51   ;No
EI-T1578(PG);EPSON;Tinta (Ink-jet);EPSON T1578 BLACK MATE CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15784010;29.5 ml;181;2,04   ;2,86   ;2,76   ;8,51   ;Si
EI-T1579(PG);EPSON;Tinta (Ink-jet);EPSON T1579 BLACK LIGHT LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15794010;29.5 ml;181;2,04   ;2,86   ;2,76   ;8,51   ;Si
EI-T1590;EPSON;Tinta (Ink-jet);EPSON T1590 OPTIMIZADOR DE BRILLO CARTUCHO DE TINTA GENERICO C13T15904010;17 ml;181;1,80   ;2,52   ;2,43   ;8,75   ;Si
EI-T1591(PG);EPSON;Tinta (Ink-jet);EPSON T1591 BLACK PHOTO CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15914010;17 ml;181;1,80   ;2,52   ;2,43   ;8,75   ;Si
EI-T1592(PG);EPSON;Tinta (Ink-jet);EPSON T1592 CYAN CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15924010;17 ml;181;1,80   ;2,52   ;2,43   ;8,75   ;Si
EI-T1593(PG);EPSON;Tinta (Ink-jet);EPSON T1593 MAGENTA CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15934010;17 ml;181;1,80   ;2,52   ;2,43   ;8,75   ;Si
EI-T1594(PG);EPSON;Tinta (Ink-jet);EPSON T1594 YELLOW CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15944010;17 ml;181;1,80   ;2,52   ;2,43   ;8,75   ;Si
EI-T1597(PG);EPSON;Tinta (Ink-jet);EPSON T1597 ROJO CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15974010;17 ml;181;1,80   ;2,52   ;2,43   ;8,75   ;Si
EI-T1598(PG);EPSON;Tinta (Ink-jet);EPSON T1598 BLACK MATE CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15984010;17 ml;181;1,80   ;2,52   ;2,43   ;8,75   ;Si
EI-T1599(PG);EPSON;Tinta (Ink-jet);EPSON T1599 NARANJA CARTUCHO DE TINTA PIGMENTADA GENERICO C13T15994010;17 ml;181;1,80   ;2,52   ;2,43   ;8,75   ;Si
EI-T1631;EPSON;Tinta (Ink-jet);EPSON T1631/T1621/T1681 (16XL/16XXL) BLACK CARTUCHO DE TINTA GENERICO C13T16314010/C13T16214010/C13T16814012;17 ml;181;0,26   ;0,37   ;0,35   ;3,90   ;Si
EI-T1632;EPSON;Tinta (Ink-jet);EPSON T1632/T1622 (16XL) CYAN CARTUCHO DE TINTA GENERICO C13T16324010/C13T16224010;11.6 ml;181;0,26   ;0,37   ;0,35   ;3,90   ;Si
EI-T1633;EPSON;Tinta (Ink-jet);EPSON T1633/T1623 (16XL) MAGENTA CARTUCHO DE TINTA GENERICO C13T16334010/C13T16234010;11.6 ml;181;0,26   ;0,37   ;0,35   ;3,90   ;Si
EI-T1634;EPSON;Tinta (Ink-jet);EPSON T1634/T1624 (16XL) YELLOW CARTUCHO DE TINTA GENERICO C13T16344010/C13T16244010;11.6 ml;181;0,26   ;0,37   ;0,35   ;3,90   ;Si
EI-T1636PK*5;EPSON;Tinta (Ink-jet);EPSON T1636 MULTIPACK DE 5 CARTUCHOS DE TINTA GENERICOS C13T16364010;2*17 ml y 3*11.6 ml;181;1,36   ;1,91   ;1,84   ;18,50   ;Si
EI-T1811;EPSON;Tinta (Ink-jet);EPSON T1811/T1801 (18XL) BLACK CARTUCHO DE TINTA GENERICO C13T18114010/C13T18014010;17 ml;181;0,26   ;0,37   ;0,35   ;3,90   ;Si
EI-T1811PK*10;EPSON;Tinta (Ink-jet);EPSON T1816 MULTIPACK DE 10 CARTUCHOS DE TINTA GENERICOS;10*12 ml;181;3,36   ;4,71   ;4,54   ;34,50   ;Si
EI-T1811PK*5;EPSON;Tinta (Ink-jet);EPSON T1816 MULTIPACK DE 5 CARTUCHOS DE TINTA GENERICOS;5*12 ml;181;1,45   ;2,03   ;1,96   ;18,50   ;Si
EI-T1812;EPSON;Tinta (Ink-jet);EPSON T1812/T1802 (18XL) CYAN CARTUCHO DE TINTA GENERICO C13T18124010/C13T18024010;13 ml;181;0,26   ;0,37   ;0,35   ;3,90   ;Si
EI-T1813;EPSON;Tinta (Ink-jet);EPSON T1813/T1803 (18XL) MAGENTA CARTUCHO DE TINTA GENERICO C13T18134010/C13T18034010;13 ml;181;0,26   ;0,37   ;0,35   ;3,90   ;Si
EI-T1814;EPSON;Tinta (Ink-jet);EPSON T1814/T1804 (18XL) YELLOW CARTUCHO DE TINTA GENERICO C13T18144010/C13T18044010;13 ml;181;0,26   ;0,37   ;0,35   ;3,90   ;Si
EI-T2431;EPSON;Tinta (Ink-jet);EPSON T2431/T2421 (24XL) BLACK CARTUCHO DE TINTA GENERICO C13T24314010/C13T24214010;13 ml;181;0,36   ;0,50   ;0,49   ;3,90   ;Si
EI-T2432;EPSON;Tinta (Ink-jet);EPSON T2432/T2422 (24XL) CYAN CARTUCHO DE TINTA GENERICO C13T24324010/C13T24224010;13 ml;181;0,36   ;0,50   ;0,49   ;3,90   ;Si
EI-T2433;EPSON;Tinta (Ink-jet);EPSON T2433/T2423 (24XL) MAGENTA CARTUCHO DE TINTA GENERICO C13T24334010/C13T24234010;13 ml;181;0,36   ;0,50   ;0,49   ;3,90   ;Si
EI-T2434;EPSON;Tinta (Ink-jet);EPSON T2434/T2424 (24XL) YELLOW CARTUCHO DE TINTA GENERICO C13T24344010/C13T24244010;13 ml;181;0,36   ;0,50   ;0,49   ;3,90   ;No
EI-T2435;EPSON;Tinta (Ink-jet);EPSON T2435/T2425 (24XL) CYAN LIGHT CARTUCHO DE TINTA GENERICO C13T24354010/C13T24254010;13 ml;181;0,36   ;0,50   ;0,49   ;3,90   ;Si
EI-T2436;EPSON;Tinta (Ink-jet);EPSON T2436/T2426 (24XL) MAGENTA LIGHT CARTUCHO DE TINTA GENERICO C13T24364010/C13T24264010;13 ml;181;0,36   ;0,50   ;0,49   ;3,90   ;Si
EI-T2621;EPSON;Tinta (Ink-jet);EPSON T2621/T2601/26XL BLACK CARTUCHO DE TINTA GENERICO C13T26214010/C13T26014010;26 ml;181;0,49   ;0,69   ;0,66   ;3,90   ;Si
EI-T2631;EPSON;Tinta (Ink-jet);EPSON T2631/T2611/26XL BLACK PHOTO CARTUCHO DE TINTA GENERICO C13T26314010/C13T26114010;13 ml;181;0,36   ;0,50   ;0,48   ;3,90   ;Si
EI-T2632;EPSON;Tinta (Ink-jet);EPSON T2632/T2612/26XL CYAN CARTUCHO DE TINTA GENERICO C13T26324010/C13T26124010;13 ml;181;0,36   ;0,50   ;0,48   ;3,90   ;Si
EI-T2633;EPSON;Tinta (Ink-jet);EPSON T2633/T2613/26XL MAGENTA CARTUCHO DE TINTA GENERICO C13T26334010/C13T26134010;13 ml;181;0,36   ;0,50   ;0,48   ;3,90   ;Si
EI-T2634;EPSON;Tinta (Ink-jet);EPSON T2634/T2614/26XL YELLOW CARTUCHO DE TINTA GENERICO C13T26344010/C13T26144010;13 ml;181;0,36   ;0,50   ;0,48   ;3,90   ;Si
EI-T266;EPSON;Tinta (Ink-jet);EPSON T266 BLACK CARTUCHO DE TINTA GENERICO C13T26614010;;181;1,59   ;2,22   ;2,14   ;6,90   ;Si
EI-T267;EPSON;Tinta (Ink-jet);EPSON T267 TRICOLOR CARTUCHO DE TINTA GENERICO C13T26704010;;181;1,69   ;2,37   ;2,29   ;6,90   ;Si
EI-T2711;EPSON;Tinta (Ink-jet);EPSON T2711/T2701 (27XL) BLACK CARTUCHO DE TINTA GENERICO C13T27114010/C13T27014010;22.4 ml;181;0,44   ;0,62   ;0,59   ;6,90   ;Si
EI-T2712;EPSON;Tinta (Ink-jet);EPSON T2712/T2702 (27XL) CYAN CARTUCHO DE TINTA GENERICO C13T27124010/C13T27024010;15 ml;181;0,30   ;0,42   ;0,41   ;6,90   ;Si
EI-T2713;EPSON;Tinta (Ink-jet);EPSON T2713/T2703 (27XL) MAGENTA CARTUCHO DE TINTA GENERICO C13T27134010/C13T27034010;15 ml;181;0,30   ;0,42   ;0,41   ;6,90   ;Si
EI-T2714;EPSON;Tinta (Ink-jet);EPSON T2714/T2704 (27XL) YELLOW CARTUCHO DE TINTA GENERICO C13T27144010/C13T27044010;15 ml;181;0,30   ;0,42   ;0,41   ;6,90   ;Si
EI-T2791;EPSON;Tinta (Ink-jet);EPSON T2791 (27XXL) BLACK CARTUCHO DE TINTA GENERICO C13T27914010;43.4 ml;181;0,63   ;0,88   ;0,85   ;6,90   ;Si
EI-T2991;EPSON;Tinta (Ink-jet);EPSON T2991/T2981 V2 (29XL) BLACK CARTUCHO DE TINTA GENERICO C13T29914010/C13T29814010;17 ml;181;0,70   ;0,98   ;0,94   ;7,50   ;Si
EI-T2992;EPSON;Tinta (Ink-jet);EPSON T2992/T2982 V2 (29XL) CYAN CARTUCHO DE TINTA GENERICO C13T29924010/C13T29824010;13 ml;181;0,70   ;0,98   ;0,94   ;7,50   ;Si
EI-T2993;EPSON;Tinta (Ink-jet);EPSON T2993/T2983 V2 (29XL) MAGENTA CARTUCHO DE TINTA GENERICO C13T29934010/C13T29834010;13 ml;181;0,70   ;0,98   ;0,94   ;7,50   ;Si
EI-T2994;EPSON;Tinta (Ink-jet);EPSON T2994/T2984 V2 (29XL) YELLOW CARTUCHO DE TINTA GENERICO C13T29944010/C13T29844010;13 ml;181;0,70   ;0,98   ;0,94   ;7,50   ;Si
EI-T3351;EPSON;Tinta (Ink-jet);EPSON T3351/T3331 V2 (33XL) BLACK CARTUCHO DE TINTA GENERICO C13T33514010/C13T33314010;24.4 ml;181;0,87   ;1,22   ;1,18   ;7,50   ;Si
EI-T3361;EPSON;Tinta (Ink-jet);EPSON T3361/T3341 V2 (33XL) BLACK PHOTO CARTUCHO DE TINTA GENERICO C13T33614010/C13T33414010;13.8 ml;181;0,87   ;1,22   ;1,18   ;7,50   ;Si
EI-T3362;EPSON;Tinta (Ink-jet);EPSON T3362/T3342 V2 (33XL) CYAN CARTUCHO DE TINTA GENERICO C13T33624010/C13T33424010;13.8 ml;181;0,87   ;1,22   ;1,18   ;7,50   ;Si
EI-T3363;EPSON;Tinta (Ink-jet);EPSON T3363/T3343 V2 (33XL) MAGENTA CARTUCHO DE TINTA GENERICO C13T33634010/C13T33434010;13.8 ml;181;0,87   ;1,22   ;1,18   ;7,50   ;Si
EI-T3364;EPSON;Tinta (Ink-jet);EPSON T3364/T3344 V2 (33XL) YELLOW CARTUCHO DE TINTA GENERICO C13T33644010/C13T33444010;13.8 ml;181;0,87   ;1,22   ;1,18   ;7,50   ;Si
EI-T3471;EPSON;Tinta (Ink-jet);EPSON T3471/T3461 (34XL) BLACK CARTUCHO DE TINTA GENERICO C13T34714010/C13T34614010;1.100 Páginas;181;6,03   ;8,45   ;8,15   ;17,50   ;Si
EI-T3472;EPSON;Tinta (Ink-jet);EPSON T3472/T3462 (34XL) CYAN CARTUCHO DE TINTA GENERICO C13T34724010/C13T34624010;950 Páginas;181;3,79   ;5,31   ;5,12   ;11,50   ;Si
EI-T3473;EPSON;Tinta (Ink-jet);EPSON T3473/T3463 (34XL) MAGENTA CARTUCHO DE TINTA GENERICO C13T34734010/C13T34634010;950 Páginas;181;3,79   ;5,31   ;5,12   ;11,50   ;Si
EI-T3474;EPSON;Tinta (Ink-jet);EPSON T3474/T3464 (34XL) YELLOW CARTUCHO DE TINTA GENERICO C13T34744010/C13T34644010;950 Páginas;181;3,79   ;5,31   ;5,12   ;11,50   ;Si
EI-T3591(PG);EPSON;Tinta (Ink-jet);EPSON T3591/T3581 (35XL) BLACK CARTUCHO DE TINTA PIGMENTADA GENERICO C13T35914010/C13T35814010;2.600 Páginas;181;7,80   ;10,92   ;10,53   ;21,99   ;Si
EI-T3592;EPSON;Tinta (Ink-jet);EPSON T3592/T3582 (35XL) CYAN CARTUCHO DE TINTA GENERICO C13T35924010/C13T35824010;1.900 Páginas;181;5,43   ;7,60   ;7,33   ;17,50   ;Si
EI-T3593;EPSON;Tinta (Ink-jet);EPSON T3593/T3583 (35XL) MAGENTA CARTUCHO DE TINTA GENERICO C13T35934010/C13T35834010;1.900 Páginas;181;5,43   ;7,60   ;7,33   ;17,50   ;Si
EI-T3594;EPSON;Tinta (Ink-jet);EPSON T3594/T3584 (35XL) YELLOW CARTUCHO DE TINTA GENERICO C13T35944010/C13T35844010;1.900 Páginas;181;5,43   ;7,60   ;7,33   ;17,50   ;Si
EI-T407011;EPSON;Tinta (Ink-jet);EPSON T407011 BLACK CARTUCHO DE TINTA GENERICO C13T407011;220 ml;181;5,09   ;7,13   ;6,87   ;12,50   ;Si
EI-T408011;EPSON;Tinta (Ink-jet);EPSON T408011 YELLOW CARTUCHO DE TINTA GENERICO C13T408011;220 ml;181;5,09   ;7,13   ;6,87   ;12,50   ;No
EI-T409011;EPSON;Tinta (Ink-jet);EPSON T409011 MAGENTA CARTUCHO DE TINTA GENERICO C13T409011;220 ml;181;5,09   ;7,13   ;6,87   ;12,50   ;Si
EI-T410011;EPSON;Tinta (Ink-jet);EPSON T410011 CYAN CARTUCHO DE TINTA GENERICO C13T410011;220 ml;181;5,09   ;7,13   ;6,87   ;12,50   ;No
EI-T411011;EPSON;Tinta (Ink-jet);EPSON T411011 MAGENTA LIGHT CARTUCHO DE TINTA GENERICO C13T411011;220 ml;181;5,09   ;7,13   ;6,87   ;12,50   ;No
EI-T412011;EPSON;Tinta (Ink-jet);EPSON T412011 CYAN LIGHT CARTUCHO DE TINTA GENERICO C13T412011;220 ml;181;5,09   ;7,13   ;6,87   ;12,50   ;Si
EI-T460011;EPSON;Tinta (Ink-jet);EPSON T460011 BLACK CARTUCHO DE TINTA GENERICO C13T460011;110 ml;181;3,82   ;5,35   ;5,16   ;13,50   ;Si
EI-T461011;EPSON;Tinta (Ink-jet);EPSON T461011 YELLOW CARTUCHO DE TINTA GENERICO C13T461011;110 ml;181;3,82   ;5,35   ;5,16   ;13,50   ;Si
EI-T462011;EPSON;Tinta (Ink-jet);EPSON T462011 MAGENTA CARTUCHO DE TINTA GENERICO C13T462011;110 ml;181;3,82   ;5,35   ;5,16   ;13,50   ;Si
EI-T463011;EPSON;Tinta (Ink-jet);EPSON T463011 CYAN CARTUCHO DE TINTA GENERICO C13T463011;110 ml;181;3,82   ;5,35   ;5,16   ;13,50   ;Si
EI-T464011;EPSON;Tinta (Ink-jet);EPSON T464011 MAGENTA LIGHT CARTUCHO DE TINTA GENERICO C13T464011;110 ml;181;3,82   ;5,35   ;5,16   ;13,50   ;Si
EI-T465011;EPSON;Tinta (Ink-jet);EPSON T465011 CYAN LIGHT CARTUCHO DE TINTA GENERICO C13T465011;110 ml;181;3,82   ;5,35   ;5,16   ;13,50   ;Si
EI-T544100(PG);EPSON;Tinta (Ink-jet);EPSON T544100 BLACK PHOTO CARTUCHO DE TINTA PIGMENTADA GENERICO C13T544100;220 ml;181;9,75   ;13,65   ;13,16   ;34,50   ;Si
EI-T544200(PG);EPSON;Tinta (Ink-jet);EPSON T544200 CYAN CARTUCHO DE TINTA PIGMENTADA GENERICO C13T544200;220 ml;181;9,75   ;13,65   ;13,16   ;34,50   ;Si
EI-T544300(PG);EPSON;Tinta (Ink-jet);EPSON T544300 MAGENTA CARTUCHO DE TINTA PIGMENTADA GENERICO C13T544300;220 ml;181;9,75   ;13,65   ;13,16   ;34,50   ;No
EI-T544400(PG);EPSON;Tinta (Ink-jet);EPSON T544400 YELLOW CARTUCHO DE TINTA PIGMENTADA GENERICO C13T544400;220 ml;181;9,75   ;13,65   ;13,16   ;34,50   ;Si
EI-T544500(PG);EPSON;Tinta (Ink-jet);EPSON T544500 CYAN LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T544500;220 ml;181;9,75   ;13,65   ;13,16   ;34,50   ;Si
EI-T544600(PG);EPSON;Tinta (Ink-jet);EPSON T544600 MAGENTA LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T544600;220 ml;181;9,75   ;13,65   ;13,16   ;34,50   ;Si
EI-T544700(PG);EPSON;Tinta (Ink-jet);EPSON T544700 BLACK LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T544700;220 ml;181;9,75   ;13,65   ;13,16   ;34,50   ;Si
EI-T544800(PG);EPSON;Tinta (Ink-jet);EPSON T544800 BLACK MATE CARTUCHO DE TINTA PIGMENTADA GENERICO C13T544800;220 ml;181;9,75   ;13,65   ;13,16   ;34,50   ;Si
EI-T5570;EPSON;Tinta (Ink-jet);EPSON T5570 6 COLORES CARTUCHO DE TINTA GENERICO C13T557040BH;90 ml;181;2,89   ;4,04   ;3,90   ;11,50   ;Si
EI-T5591;EPSON;Tinta (Ink-jet);EPSON T5591 BLACK CARTUCHO DE TINTA GENERICO C13T55914010;16 ml;181;0,53   ;0,74   ;0,71   ;3,90   ;Si
EI-T5592;EPSON;Tinta (Ink-jet);EPSON T5592 CYAN CARTUCHO DE TINTA GENERICO C13T55924010;16 ml;181;0,53   ;0,74   ;0,71   ;3,90   ;Si
EI-T5593;EPSON;Tinta (Ink-jet);EPSON T5593 MAGENTA CARTUCHO DE TINTA GENERICO C13T55934010;16 ml;181;0,53   ;0,74   ;0,71   ;3,90   ;Si
EI-T5594;EPSON;Tinta (Ink-jet);EPSON T5594 YELLOW CARTUCHO DE TINTA GENERICO C13T55944010;16 ml;181;0,53   ;0,74   ;0,71   ;3,90   ;Si
EI-T5595;EPSON;Tinta (Ink-jet);EPSON T5595 CYAN LIGHT CARTUCHO DE TINTA GENERICO C13T55954010;16 ml;181;0,53   ;0,74   ;0,71   ;3,90   ;Si
EI-T5596;EPSON;Tinta (Ink-jet);EPSON T5596 MAGENTA LIGHT CARTUCHO DE TINTA GENERICO C13T55964010;16 ml;181;0,53   ;0,74   ;0,71   ;3,90   ;Si
EI-T563100(PG);EPSON;Tinta (Ink-jet);EPSON T563100 BLACK PHOTO CARTUCHO DE TINTA PIGMENTADA GENERICO C13T563100;220 ml;181;10,98   ;15,37   ;14,82   ;32,95   ;Si
EI-T563200(PG);EPSON;Tinta (Ink-jet);EPSON T563200 CYAN CARTUCHO DE TINTA PIGMENTADA GENERICO C13T563200;220 ml;181;10,98   ;15,37   ;14,82   ;32,95   ;Si
EI-T563300(PG);EPSON;Tinta (Ink-jet);EPSON T563300 MAGENTA CARTUCHO DE TINTA PIGMENTADA GENERICO C13T563300;220 ml;181;10,98   ;15,37   ;14,82   ;32,95   ;Si
EI-T563400(PG);EPSON;Tinta (Ink-jet);EPSON T563400 YELLOW CARTUCHO DE TINTA PIGMENTADA GENERICO C13T563400;220 ml;181;10,98   ;15,37   ;14,82   ;32,95   ;Si
EI-T563500(PG);EPSON;Tinta (Ink-jet);EPSON T563500 CYAN LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T563500;220 ml;181;10,98   ;15,37   ;14,82   ;32,95   ;Si
EI-T563600(PG);EPSON;Tinta (Ink-jet);EPSON T563600 MAGENTA LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T563600;220 ml;181;10,98   ;15,37   ;14,82   ;32,95   ;Si
EI-T563700(PG);EPSON;Tinta (Ink-jet);EPSON T563700 BLACK LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T563700;220 ml;181;10,98   ;15,37   ;14,82   ;32,95   ;Si
EI-T563900(PG);EPSON;Tinta (Ink-jet);EPSON T563900 BLACK LIGHT LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T563900;220 ml;181;10,98   ;15,37   ;14,82   ;32,95   ;Si
EI-T567800;EPSON;Tinta (Ink-jet);EPSON T567800 BLACK MATE CARTUCHO DE TINTA PIGMENTADA GENERICO C13T567800;220 ml;181;10,98   ;15,37   ;14,82   ;32,95   ;Si
EI-T573;EPSON;Tinta (Ink-jet);EPSON T5730 CARTUCHO DE TINTA GENERICO C13T573040;60 ml;181;2,85   ;3,98   ;3,84   ;16,50   ;Si
EI-T5801;EPSON;Tinta (Ink-jet);EPSON T5801 BLACK PHOTO CARTUCHO DE TINTA PIGMENTADA GENERICO C13T580100;80 ml;181;7,21   ;10,10   ;9,73   ;23,90   ;Si
EI-T5802;EPSON;Tinta (Ink-jet);EPSON T5802 CYAN CARTUCHO DE TINTA PIGMENTADA GENERICO C13T580200;80 ml;181;7,21   ;10,10   ;9,73   ;23,90   ;Si
EI-T5803;EPSON;Tinta (Ink-jet);EPSON T5803 MAGENTA CARTUCHO DE TINTA PIGMENTADA GENERICO C13T580300;80 ml;181;7,21   ;10,10   ;9,73   ;23,90   ;Si
EI-T5804;EPSON;Tinta (Ink-jet);EPSON T5804 YELLOW CARTUCHO DE TINTA PIGMENTADA GENERICO C13T580400;80 ml;181;7,21   ;10,10   ;9,73   ;23,90   ;No
EI-T5805;EPSON;Tinta (Ink-jet);EPSON T5805 CYAN LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T580500;80 ml;181;7,21   ;10,10   ;9,73   ;23,90   ;Si
EI-T5806;EPSON;Tinta (Ink-jet);EPSON T5806 MAGENTA LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T580600;80 ml;181;7,21   ;10,10   ;9,73   ;23,90   ;Si
EI-T5807;EPSON;Tinta (Ink-jet);EPSON T5807 BLACK LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T580700;80 ml;181;7,21   ;10,10   ;9,73   ;23,90   ;Si
EI-T5808;EPSON;Tinta (Ink-jet);EPSON T5808 BLACK MATE CARTUCHO DE TINTA PIGMENTADA GENERICO C13T580800;80 ml;181;7,21   ;10,10   ;9,73   ;23,90   ;Si
EI-T5809;EPSON;Tinta (Ink-jet);EPSON T5809 BLACK LIGHT LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T580900;80 ml;181;7,21   ;10,10   ;9,73   ;23,90   ;Si
EI-T5846;EPSON;Tinta (Ink-jet);EPSON T5846 CARTUCHO DE TINTA GENERICO C13T58464010;43.6 ml;181;2,24   ;3,14   ;3,02   ;16,50   ;Si
EI-T6031(PG);EPSON;Tinta (Ink-jet);EPSON T603100 BLACK PHOTO CARTUCHO DE TINTA PIGMENTADA GENERICO C13T603100;220 ml;181;9,84   ;13,78   ;13,29   ;39,95   ;No
EI-T6032(PG);EPSON;Tinta (Ink-jet);EPSON T603200 CYAN CARTUCHO DE TINTA PIGMENTADA GENERICO C13T603200;220 ml;181;9,84   ;13,78   ;13,29   ;39,95   ;Si
EI-T6033(PG);EPSON;Tinta (Ink-jet);EPSON T603300 MAGENTA CARTUCHO DE TINTA PIGMENTADA GENERICO C13T603300;220 ml;181;9,84   ;13,78   ;13,29   ;39,95   ;No
EI-T6034(PG);EPSON;Tinta (Ink-jet);EPSON T603400 YELLOW CARTUCHO DE TINTA PIGMENTADA GENERICO C13T603400;220 ml;181;9,84   ;13,78   ;13,29   ;39,95   ;No
EI-T6035(PG);EPSON;Tinta (Ink-jet);EPSON T603500 CYAN LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T603500;220 ml;181;9,84   ;13,78   ;13,29   ;39,95   ;Si
EI-T6036(PG);EPSON;Tinta (Ink-jet);EPSON T603600 MAGENTA LIGHT CARTUCHO DE TINTA PIGMENTADA GENERICO C13T603600;220 ml;181;9,84   ;13,78   ;13,29   ;39,95   ;Si
